Filename,Label,L_mean,A_mean,B_mean,ITA_Angle,Fitzpatrick,Used_ROIs
10546.jpg,Normal,124.99,141.44,142.33,-3.93,Type_V,R_Cheek+L_Cheek+Forehead
10633.jpg,Normal,99.46,143.14,139.99,-42.53,Type_VI,R_Cheek+Forehead
1064.jpg,Normal,136.81,139.58,145.53,11.77,Type_IV,R_Cheek+L_Cheek+Forehead
10645.jpg,Normal,102.39,140.12,136.91,-47.85,Type_VI,R_Cheek+L_Cheek+Forehead
10647.jpg,Normal,34.62,134.38,133.11,-82.01,Type_VI,R_Cheek+L_Cheek+Forehead
10648.jpg,Normal,127.99,131.94,143.77,0.7,Type_V,R_Cheek+L_Cheek+Forehead
10657.jpg,Normal,123.44,139.26,144.65,-5.46,Type_V,R_Cheek+L_Cheek+Forehead
10658.jpg,Normal,118.24,143.24,145.43,-11.76,Type_V,R_Cheek+Forehead
10684.jpg,Normal,95.86,128.59,130.01,-80.78,Type_VI,R_Cheek+L_Cheek+Forehead
10709.jpg,Normal,64.98,152.12,146.49,-52.98,Type_VI,R_Cheek+L_Cheek+Forehead
10735.jpg,Normal,58.14,135.44,134.71,-76.14,Type_VI,R_Cheek+L_Cheek+Forehead
10736.jpg,Normal,155.26,148.87,165.05,16.38,Type_IV,R_Cheek+L_Cheek+Forehead
10738.jpg,Normal,140.42,144.21,145.74,15.94,Type_IV,L_Cheek+Forehead
10743.jpg,Normal,131.59,138.42,137.09,10.0,Type_IV,R_Cheek+Forehead
10745.jpg,Normal,132.72,137.2,136.41,13.69,Type_IV,R_Cheek+L_Cheek+Forehead
10749.jpg,Normal,115.81,140.42,147.17,-13.44,Type_V,R_Cheek+L_Cheek+Forehead
10753.jpg,Normal,148.68,142.28,145.49,25.4,Type_IV,R_Cheek+L_Cheek+Forehead
10837.jpg,Normal,143.66,150.63,152.16,14.7,Type_IV,R_Cheek+L_Cheek+Forehead
1084.jpg,Normal,143.54,142.32,139.24,29.24,Type_III,R_Cheek+L_Cheek+Forehead
10846.jpg,Normal,87.79,133.53,139.67,-53.15,Type_VI,R_Cheek+Forehead
10969.jpg,Normal,50.07,135.63,133.95,-78.92,Type_VI,R_Cheek+L_Cheek+Forehead
10971.jpg,Normal,108.96,145.25,148.49,-19.54,Type_V,R_Cheek+L_Cheek+Forehead
1098.jpg,Normal,142.65,136.87,142.15,22.77,Type_IV,R_Cheek+L_Cheek+Forehead
10980.jpg,Normal,130.72,140.34,145.57,4.11,Type_V,R_Cheek+L_Cheek+Forehead
10981.jpg,Normal,91.04,144.34,139.24,-51.83,Type_VI,L_Cheek+Forehead
10983.jpg,Normal,147.74,138.21,134.52,50.6,Type_II,R_Cheek+L_Cheek+Forehead
11074.jpg,Normal,127.21,135.09,125.95,3.15,Type_V,R_Cheek+L_Cheek+Forehead
11078.jpg,Normal,205.61,137.54,150.69,53.48,Type_II,R_Cheek+L_Cheek+Forehead
11080.jpg,Normal,109.66,146.94,140.41,-29.42,Type_V,R_Cheek+L_Cheek+Forehead
11083.jpg,Normal,89.62,128.57,146.39,-38.93,Type_VI,L_Cheek+Forehead
11084.jpg,Normal,103.05,145.26,144.05,-30.85,Type_VI,R_Cheek+L_Cheek+Forehead
11085.jpg,Normal,169.86,145.39,165.88,23.68,Type_IV,L_Cheek+Forehead
11088.jpg,Normal,126.66,148.46,135.49,-2.51,Type_V,L_Cheek+Forehead
11148.jpg,Normal,129.51,148.95,160.26,1.4,Type_V,R_Cheek+L_Cheek+Forehead
1115.jpg,Normal,106.28,147.09,149.6,-21.07,Type_V,R_Cheek+L_Cheek+Forehead
11156.jpg,Normal,79.89,134.97,134.5,-70.8,Type_VI,L_Cheek+Forehead
11162.jpg,Normal,141.58,139.05,148.32,15.2,Type_IV,R_Cheek+L_Cheek+Forehead
11163.jpg,Normal,162.43,150.76,169.89,18.11,Type_IV,L_Cheek+Forehead
11164.jpg,Normal,178.68,139.29,142.83,53.54,Type_II,R_Cheek+L_Cheek+Forehead
1117.jpg,Normal,183.39,145.33,147.49,48.36,Type_II,R_Cheek+L_Cheek+Forehead
11279.jpg,Normal,85.21,149.52,150.55,-36.33,Type_VI,L_Cheek+Forehead
11280.jpg,Normal,70.35,149.43,149.45,-46.25,Type_VI,R_Cheek+L_Cheek+Forehead
11284.jpg,Normal,165.04,134.18,167.09,20.64,Type_IV,R_Cheek+L_Cheek+Forehead
11286.jpg,Normal,161.77,140.06,142.15,43.52,Type_II,R_Cheek+L_Cheek+Forehead
11292.jpg,Normal,135.67,140.12,143.02,12.04,Type_IV,L_Cheek+Forehead
11295.jpg,Normal,115.23,152.97,151.4,-11.62,Type_V,R_Cheek+L_Cheek+Forehead
11296.jpg,Normal,134.09,147.25,148.02,7.35,Type_V,R_Cheek+Forehead
11369.jpg,Normal,123.97,139.76,141.45,-5.88,Type_V,R_Cheek+Forehead
11370.jpg,Normal,131.5,138.71,139.78,7.59,Type_V,L_Cheek+Forehead
11439.jpg,Normal,120.73,134.87,133.33,-26.46,Type_V,R_Cheek+Forehead
1144.jpg,Normal,157.0,141.46,143.43,36.86,Type_III,R_Cheek+L_Cheek+Forehead
11451.jpg,Normal,117.42,148.77,161.53,-6.72,Type_V,R_Cheek+L_Cheek+Forehead
11452.jpg,Normal,100.07,128.0,128.0,-89.99,Type_VI,R_Cheek+L_Cheek+Forehead
11453.jpg,Normal,98.26,146.86,154.54,-23.37,Type_V,R_Cheek+L_Cheek+Forehead
11455.jpg,Normal,126.75,147.16,144.56,-1.02,Type_V,R_Cheek+L_Cheek+Forehead
11459.jpg,Normal,138.66,153.94,151.73,10.45,Type_IV,R_Cheek+Forehead
11534.jpg,Normal,122.23,144.84,173.76,-2.59,Type_V,R_Cheek+L_Cheek+Forehead
11538.jpg,Normal,134.27,155.6,160.93,4.61,Type_V,R_Cheek+L_Cheek+Forehead
11540.jpg,Normal,201.98,140.04,134.73,77.02,Type_I,R_Cheek+Forehead
11541.jpg,Normal,89.7,156.19,165.47,-21.58,Type_V,R_Cheek+Forehead
11544.jpg,Normal,118.24,145.58,151.03,-8.96,Type_V,R_Cheek+L_Cheek+Forehead
11545.jpg,Normal,116.07,150.26,149.15,-11.97,Type_V,R_Cheek+L_Cheek+Forehead
11546.jpg,Normal,141.92,147.0,150.74,13.97,Type_IV,R_Cheek+L_Cheek+Forehead
11655.jpg,Normal,90.8,146.63,147.73,-36.11,Type_VI,R_Cheek+L_Cheek+Forehead
11662.jpg,Normal,103.03,146.42,148.5,-25.08,Type_V,R_Cheek+L_Cheek+Forehead
11664.jpg,Normal,105.84,139.8,129.67,-78.91,Type_VI,R_Cheek+L_Cheek+Forehead
11666.jpg,Normal,60.65,136.09,140.6,-64.32,Type_VI,R_Cheek+L_Cheek+Forehead
11668.jpg,Normal,128.53,139.25,134.7,3.46,Type_V,R_Cheek+L_Cheek+Forehead
11669.jpg,Normal,98.71,140.98,145.16,-33.34,Type_VI,R_Cheek+L_Cheek+Forehead
11675.jpg,Normal,143.87,143.08,145.61,20.03,Type_IV,R_Cheek+L_Cheek+Forehead
11680.jpg,Normal,77.2,145.14,136.18,-67.48,Type_VI,R_Cheek+L_Cheek+Forehead
11760.jpg,Normal,79.86,150.92,138.52,-60.63,Type_VI,R_Cheek+L_Cheek+Forehead
11768.jpg,Normal,84.77,142.78,148.57,-39.16,Type_VI,L_Cheek+Forehead
11769.jpg,Normal,42.75,138.51,140.37,-69.59,Type_VI,L_Cheek+Forehead
11776.jpg,Normal,120.16,141.2,141.76,-11.81,Type_V,R_Cheek+L_Cheek+Forehead
11778.jpg,Normal,106.68,139.33,128.03,-89.77,Type_VI,R_Cheek+L_Cheek+Forehead
1186.jpg,Normal,56.54,140.52,141.44,-64.22,Type_VI,R_Cheek+L_Cheek+Forehead
11863.jpg,Normal,81.7,148.37,145.82,-45.22,Type_VI,R_Cheek+L_Cheek+Forehead
11864.jpg,Normal,154.2,157.59,176.38,12.21,Type_IV,R_Cheek+L_Cheek+Forehead
11868.jpg,Normal,139.27,136.37,138.64,23.45,Type_IV,R_Cheek+L_Cheek+Forehead
11869.jpg,Normal,144.31,149.98,179.24,7.33,Type_V,R_Cheek+L_Cheek+Forehead
11877.jpg,Normal,111.48,143.73,148.91,-16.72,Type_V,R_Cheek+L_Cheek+Forehead
11879.jpg,Normal,94.82,138.93,132.19,-71.88,Type_VI,R_Cheek+L_Cheek+Forehead
1188.jpg,Normal,119.79,141.57,152.68,-6.98,Type_V,R_Cheek+L_Cheek+Forehead
11882.jpg,Normal,103.01,142.27,144.0,-30.97,Type_VI,R_Cheek+L_Cheek+Forehead
11953.jpg,Normal,129.97,148.36,145.78,3.12,Type_V,R_Cheek+L_Cheek+Forehead
11957.jpg,Normal,128.32,138.88,140.57,1.46,Type_V,R_Cheek+L_Cheek+Forehead
1196.jpg,Normal,39.06,142.2,136.38,-76.42,Type_VI,R_Cheek+L_Cheek+Forehead
11965.jpg,Normal,134.03,143.71,141.8,10.51,Type_IV,R_Cheek+Forehead
11966.jpg,Normal,101.81,143.71,139.07,-42.31,Type_VI,R_Cheek+L_Cheek+Forehead
1197.jpg,Normal,167.46,141.3,150.07,35.38,Type_III,R_Cheek+L_Cheek+Forehead
12032.jpg,Normal,36.81,140.1,132.5,-82.79,Type_VI,R_Cheek+L_Cheek+Forehead
12035.jpg,Normal,153.4,135.83,139.75,40.84,Type_III,R_Cheek+L_Cheek+Forehead
12037.jpg,Normal,161.2,143.49,142.85,41.67,Type_II,R_Cheek+L_Cheek+Forehead
1204.jpg,Normal,154.44,144.83,150.59,25.07,Type_IV,R_Cheek+L_Cheek+Forehead
12040.jpg,Normal,146.99,146.84,135.9,44.07,Type_II,R_Cheek+L_Cheek+Forehead
12043.jpg,Normal,134.26,136.85,144.85,8.94,Type_V,R_Cheek+L_Cheek+Forehead
12044.jpg,Normal,216.0,136.21,135.27,78.16,Type_I,L_Cheek+Forehead
12045.jpg,Normal,72.68,137.12,141.64,-57.6,Type_VI,R_Cheek+Forehead
12048.jpg,Normal,90.06,138.47,153.87,-29.58,Type_V,R_Cheek+Forehead
12049.jpg,Normal,79.61,133.38,134.83,-70.01,Type_VI,R_Cheek+L_Cheek+Forehead
12051.jpg,Normal,85.38,144.86,145.0,-44.17,Type_VI,R_Cheek+L_Cheek+Forehead
12054.jpg,Normal,85.36,142.51,145.06,-44.08,Type_VI,R_Cheek+L_Cheek+Forehead
12056.jpg,Normal,103.81,143.35,147.63,-25.33,Type_V,R_Cheek+L_Cheek+Forehead
12140.jpg,Normal,72.71,130.86,136.52,-68.36,Type_VI,R_Cheek+L_Cheek+Forehead
12144.jpg,Normal,125.18,142.25,150.87,-2.28,Type_V,L_Cheek+Forehead
12152.jpg,Normal,75.46,146.62,149.98,-42.87,Type_VI,R_Cheek+L_Cheek+Forehead
12287.jpg,Normal,90.64,136.75,143.11,-43.74,Type_VI,R_Cheek+L_Cheek+Forehead
123.jpg,Normal,126.98,144.48,148.88,-0.56,Type_V,R_Cheek+Forehead
12403.jpg,Normal,104.74,136.99,154.65,-18.52,Type_V,L_Cheek+Forehead
12407.jpg,Normal,152.9,144.3,149.55,24.8,Type_IV,R_Cheek+L_Cheek+Forehead
12412.jpg,Normal,139.87,131.8,124.64,-55.28,Type_VI,R_Cheek+L_Cheek+Forehead
12415.jpg,Normal,127.79,142.24,136.24,0.79,Type_V,R_Cheek+L_Cheek+Forehead
12498.jpg,Normal,121.3,147.46,148.15,-6.88,Type_V,R_Cheek
1250.jpg,Normal,70.04,143.82,149.42,-46.45,Type_VI,L_Cheek+Forehead
12505.jpg,Normal,137.05,149.94,145.2,12.28,Type_IV,R_Cheek+L_Cheek+Forehead
12508.jpg,Normal,98.56,139.69,140.84,-41.47,Type_VI,R_Cheek+L_Cheek+Forehead
1260.jpg,Normal,104.86,164.74,163.73,-13.95,Type_V,R_Cheek+Forehead
12600.jpg,Normal,75.39,141.34,151.28,-41.28,Type_VI,R_Cheek+L_Cheek+Forehead
12601.jpg,Normal,90.15,144.85,148.15,-36.01,Type_VI,L_Cheek+Forehead
12609.jpg,Normal,134.88,131.81,131.03,43.7,Type_II,R_Cheek+L_Cheek+Forehead
12612.jpg,Normal,119.88,140.06,147.85,-8.56,Type_V,R_Cheek+L_Cheek+Forehead
12613.jpg,Normal,127.35,147.57,153.55,-0.13,Type_V,R_Cheek+Forehead
12615.jpg,Normal,52.85,133.82,136.6,-73.62,Type_VI,L_Cheek+Forehead
12616.jpg,Normal,71.72,136.8,133.84,-75.05,Type_VI,R_Cheek+L_Cheek+Forehead
12618.jpg,Normal,133.77,144.59,141.64,10.21,Type_IV,R_Cheek+L_Cheek+Forehead
12620.jpg,Normal,153.83,138.97,137.03,48.83,Type_II,L_Cheek+Forehead
12623.jpg,Normal,71.4,144.65,150.11,-44.86,Type_VI,R_Cheek+L_Cheek+Forehead
12699.jpg,Normal,118.14,138.76,144.82,-12.31,Type_V,R_Cheek+L_Cheek+Forehead
12711.jpg,Normal,117.25,145.12,157.9,-7.65,Type_V,R_Cheek+Forehead
12712.jpg,Normal,45.21,134.94,123.76,82.51,Type_I,R_Cheek+L_Cheek+Forehead
12865.jpg,Normal,57.51,151.06,152.62,-48.11,Type_VI,R_Cheek+L_Cheek+Forehead
12878.jpg,Normal,75.88,141.98,144.76,-50.38,Type_VI,R_Cheek+L_Cheek+Forehead
12882.jpg,Normal,81.36,140.57,139.31,-58.0,Type_VI,R_Cheek+L_Cheek+Forehead
12892.jpg,Normal,122.04,143.34,138.57,-11.45,Type_V,L_Cheek+Forehead
12895.jpg,Normal,84.9,132.07,104.83,35.79,Type_III,R_Cheek+Forehead
12999.jpg,Normal,50.99,134.24,129.5,-87.13,Type_VI,R_Cheek+L_Cheek+Forehead
130.jpg,Normal,133.78,148.06,155.79,5.07,Type_V,R_Cheek+Forehead
1300.jpg,Normal,64.23,131.48,130.33,-84.63,Type_VI,R_Cheek+Forehead
13007.jpg,Normal,123.51,140.67,136.53,-10.39,Type_V,L_Cheek+Forehead
13009.jpg,Normal,74.02,136.57,150.53,-42.95,Type_VI,R_Cheek+Forehead
1301.jpg,Normal,147.23,146.72,142.43,28.2,Type_III,R_Cheek+L_Cheek+Forehead
13012.jpg,Normal,126.2,150.1,145.05,-1.71,Type_V,R_Cheek+L_Cheek+Forehead
13040.jpg,Normal,167.91,140.54,148.3,37.98,Type_III,L_Cheek+Forehead
13148.jpg,Normal,132.82,136.12,140.23,9.68,Type_V,R_Cheek+L_Cheek+Forehead
13149.jpg,Normal,50.82,138.19,142.3,-64.57,Type_VI,R_Cheek+L_Cheek+Forehead
1315.jpg,Normal,103.94,139.19,144.95,-28.59,Type_V,R_Cheek+L_Cheek+Forehead
13150.jpg,Normal,60.11,133.83,128.36,-89.22,Type_VI,R_Cheek+L_Cheek+Forehead
13154.jpg,Normal,84.97,138.95,141.77,-50.45,Type_VI,R_Cheek+L_Cheek+Forehead
13158.jpg,Normal,42.03,153.04,134.74,-78.64,Type_VI,L_Cheek+Forehead
13164.jpg,Normal,140.82,138.55,140.41,22.82,Type_IV,R_Cheek+L_Cheek+Forehead
1317.jpg,Normal,108.07,143.33,149.57,-19.46,Type_V,R_Cheek+L_Cheek+Forehead
13170.jpg,Normal,160.88,147.35,157.77,23.73,Type_IV,R_Cheek+L_Cheek+Forehead
13175.jpg,Normal,107.62,152.57,148.21,-21.1,Type_V,R_Cheek+L_Cheek+Forehead
13199.jpg,Normal,108.37,139.27,143.41,-25.95,Type_V,R_Cheek+L_Cheek+Forehead
13253.jpg,Normal,122.97,146.26,147.83,-5.12,Type_V,L_Cheek+Forehead
13255.jpg,Normal,138.33,139.88,121.87,-34.69,Type_VI,R_Cheek+L_Cheek+Forehead
13256.jpg,Normal,121.02,140.04,137.21,-15.41,Type_V,R_Cheek+L_Cheek+Forehead
13262.jpg,Normal,170.01,143.03,151.03,35.89,Type_III,R_Cheek+L_Cheek+Forehead
13263.jpg,Normal,129.9,127.93,134.03,8.85,Type_V,R_Cheek+L_Cheek+Forehead
13264.jpg,Normal,135.07,150.64,153.88,6.54,Type_V,L_Cheek+Forehead
13265.jpg,Normal,105.08,148.42,153.03,-19.35,Type_V,R_Cheek+L_Cheek+Forehead
13267.jpg,Normal,159.91,140.79,144.25,38.03,Type_III,R_Cheek+L_Cheek+Forehead
1327.jpg,Normal,98.98,141.92,140.02,-42.93,Type_VI,R_Cheek+L_Cheek+Forehead
13272.jpg,Normal,174.52,143.5,146.12,45.5,Type_II,R_Cheek+L_Cheek+Forehead
13273.jpg,Normal,89.69,143.13,127.92,89.7,Type_I,R_Cheek+L_Cheek+Forehead
1336.jpg,Normal,76.9,140.39,144.46,-50.32,Type_VI,R_Cheek+L_Cheek+Forehead
13366.jpg,Normal,109.15,140.74,145.51,-22.34,Type_V,R_Cheek+L_Cheek+Forehead
13369.jpg,Normal,120.52,138.74,135.19,-20.83,Type_V,R_Cheek+L_Cheek+Forehead
13370.jpg,Normal,143.99,142.38,140.47,27.41,Type_IV,R_Cheek+L_Cheek+Forehead
13371.jpg,Normal,93.49,148.96,134.69,-63.36,Type_VI,R_Cheek+L_Cheek+Forehead
13374.jpg,Normal,174.94,142.92,146.66,44.91,Type_II,R_Cheek+L_Cheek+Forehead
13379.jpg,Normal,108.89,160.86,170.76,-9.69,Type_V,R_Cheek+Forehead
13445.jpg,Normal,184.67,136.29,144.92,52.96,Type_II,R_Cheek+L_Cheek+Forehead
13449.jpg,Normal,113.71,141.09,138.54,-27.16,Type_V,R_Cheek+L_Cheek+Forehead
13452.jpg,Normal,112.86,147.91,153.14,-12.86,Type_V,R_Cheek+L_Cheek+Forehead
13453.jpg,Normal,93.46,148.09,150.57,-30.6,Type_VI,R_Cheek+L_Cheek+Forehead
13454.jpg,Normal,163.45,140.32,136.13,60.03,Type_I,R_Cheek+L_Cheek+Forehead
13459.jpg,Normal,88.48,157.82,150.47,-34.25,Type_VI,R_Cheek+L_Cheek+Forehead
1352.jpg,Normal,157.5,141.36,128.2,89.04,Type_I,R_Cheek+L_Cheek+Forehead
13523.jpg,Normal,23.61,131.73,132.05,-84.32,Type_VI,R_Cheek+L_Cheek+Forehead
13524.jpg,Normal,90.31,128.0,128.0,-90.0,Type_VI,R_Cheek+L_Cheek+Forehead
1353.jpg,Normal,97.09,135.69,141.41,-41.65,Type_VI,R_Cheek+L_Cheek+Forehead
13531.jpg,Normal,78.16,145.01,148.69,-43.09,Type_VI,R_Cheek+L_Cheek+Forehead
13533.jpg,Normal,81.87,136.48,142.12,-51.72,Type_VI,R_Cheek+L_Cheek+Forehead
13536.jpg,Normal,107.46,149.66,149.63,-19.97,Type_V,R_Cheek+L_Cheek+Forehead
13537.jpg,Normal,159.71,143.9,148.4,31.77,Type_III,L_Cheek+Forehead
13599.jpg,Normal,175.38,147.24,154.14,35.68,Type_III,R_Cheek+L_Cheek+Forehead
136.jpg,Normal,117.49,139.68,159.52,-7.1,Type_V,R_Cheek+L_Cheek+Forehead
13603.jpg,Normal,184.98,145.06,140.62,60.76,Type_I,R_Cheek+L_Cheek+Forehead
13619.jpg,Normal,136.47,140.26,152.77,8.09,Type_V,R_Cheek+Forehead
13655.jpg,Normal,133.78,145.19,144.26,8.61,Type_V,R_Cheek+L_Cheek+Forehead
13705.jpg,Normal,122.71,143.95,160.75,-3.29,Type_V,R_Cheek+L_Cheek+Forehead
1373.jpg,Normal,102.21,143.14,140.87,-37.62,Type_VI,R_Cheek+L_Cheek+Forehead
13730.jpg,Normal,120.75,148.17,146.63,-8.08,Type_V,R_Cheek+Forehead
13731.jpg,Normal,164.62,148.48,148.31,35.64,Type_III,R_Cheek+L_Cheek+Forehead
13744.jpg,Normal,132.14,138.37,131.62,26.66,Type_IV,R_Cheek+L_Cheek+Forehead
1377.jpg,Normal,87.18,146.44,148.49,-37.66,Type_VI,R_Cheek+L_Cheek+Forehead
13817.jpg,Normal,74.88,145.46,143.9,-52.38,Type_VI,R_Cheek+L_Cheek+Forehead
13824.jpg,Normal,113.94,155.11,160.14,-9.4,Type_V,R_Cheek+L_Cheek+Forehead
13828.jpg,Normal,114.74,137.06,127.46,83.78,Type_I,L_Cheek+Forehead
13829.jpg,Normal,128.13,145.13,150.23,0.64,Type_V,L_Cheek+Forehead
13831.jpg,Normal,69.28,149.22,148.37,-48.25,Type_VI,L_Cheek+Forehead
13838.jpg,Normal,120.65,137.22,146.41,-8.31,Type_V,R_Cheek+L_Cheek+Forehead
13846.jpg,Normal,136.85,144.1,146.76,11.05,Type_IV,R_Cheek+Forehead
13913.jpg,Normal,162.23,142.79,143.8,40.76,Type_III,R_Cheek+L_Cheek+Forehead
13914.jpg,Normal,222.37,136.16,138.41,74.37,Type_I,R_Cheek+L_Cheek+Forehead
13916.jpg,Normal,114.18,141.62,138.43,-26.6,Type_V,R_Cheek+L_Cheek+Forehead
13918.jpg,Normal,129.75,144.6,148.21,2.5,Type_V,R_Cheek+L_Cheek+Forehead
13924.jpg,Normal,82.76,139.32,140.0,-55.64,Type_VI,R_Cheek+L_Cheek+Forehead
14077.jpg,Normal,97.27,146.84,145.48,-34.14,Type_VI,L_Cheek+Forehead
14088.jpg,Normal,75.12,142.09,143.47,-53.02,Type_VI,R_Cheek+Forehead
14092.jpg,Normal,112.92,148.31,158.48,-10.63,Type_V,R_Cheek+L_Cheek+Forehead
14094.jpg,Normal,159.84,141.46,147.2,33.45,Type_III,R_Cheek+L_Cheek+Forehead
14142.jpg,Normal,86.21,159.69,150.87,-35.3,Type_VI,R_Cheek+Forehead
14147.jpg,Normal,87.66,142.88,135.95,-63.04,Type_VI,R_Cheek+L_Cheek+Forehead
14148.jpg,Normal,127.04,146.34,142.4,-0.72,Type_V,R_Cheek+L_Cheek+Forehead
1415.jpg,Normal,128.03,148.14,156.78,0.42,Type_V,R_Cheek+L_Cheek+Forehead
14150.jpg,Normal,173.75,143.28,152.5,36.51,Type_III,R_Cheek+Forehead
14156.jpg,Normal,146.42,144.91,142.82,26.59,Type_IV,L_Cheek+Forehead
14158.jpg,Normal,71.72,140.29,135.75,-70.49,Type_VI,R_Cheek+Forehead
14159.jpg,Normal,178.71,128.0,128.0,90.0,Type_I,L_Cheek+Forehead
14205.jpg,Normal,33.46,134.99,134.35,-80.23,Type_VI,R_Cheek+L_Cheek+Forehead
14256.jpg,Normal,175.01,136.1,143.12,50.94,Type_II,R_Cheek+L_Cheek+Forehead
1426.jpg,Normal,66.33,141.63,138.61,-66.15,Type_VI,R_Cheek+L_Cheek+Forehead
14260.jpg,Normal,54.59,137.13,130.35,-85.3,Type_VI,R_Cheek+L_Cheek+Forehead
14263.jpg,Normal,37.15,135.84,134.43,-79.72,Type_VI,L_Cheek+Forehead
14269.jpg,Normal,115.09,141.52,147.46,-14.04,Type_V,R_Cheek+L_Cheek+Forehead
14270.jpg,Normal,94.39,136.66,139.63,-48.16,Type_VI,R_Cheek+L_Cheek+Forehead
14416.jpg,Normal,127.4,138.22,137.48,-0.24,Type_V,R_Cheek+L_Cheek+Forehead
14426.jpg,Normal,89.16,144.53,149.04,-35.55,Type_VI,L_Cheek+Forehead
14428.jpg,Normal,54.19,140.24,129.03,-87.95,Type_VI,R_Cheek+L_Cheek+Forehead
14558.jpg,Normal,136.8,137.22,145.0,12.11,Type_IV,R_Cheek+Forehead
14559.jpg,Normal,154.36,140.76,146.24,30.01,Type_III,R_Cheek+L_Cheek+Forehead
