Filename,Label,L_mean,A_mean,B_mean,ITA_Angle,Fitzpatrick
13369.jpg,Normal,128.76,138.59,134.75,4.2,Type_V
13371.jpg,Normal,102.2,152.06,134.85,-55.37,Type_VI
13445.jpg,Normal,192.47,135.5,145.84,55.0,Type_II
13449.jpg,Normal,105.76,144.34,139.91,-35.59,Type_VI
13452.jpg,Normal,103.2,150.32,155.01,-19.43,Type_V
13453.jpg,Normal,102.81,150.81,152.73,-21.38,Type_V
13454.jpg,Normal,168.77,139.94,135.21,65.98,Type_I
13459.jpg,Normal,103.81,161.13,154.58,-19.27,Type_V
1352.jpg,Normal,188.97,139.88,126.92,-87.43,Type_VI
13523.jpg,Normal,21.04,131.67,131.86,-84.72,Type_VI
1353.jpg,Normal,104.34,136.69,142.0,-32.98,Type_VI
13531.jpg,Normal,98.52,147.47,151.21,-26.09,Type_V
13533.jpg,Normal,95.55,141.62,143.75,-38.5,Type_VI
13536.jpg,Normal,123.51,153.86,150.99,-3.89,Type_V
13599.jpg,Normal,189.13,148.16,153.47,43.49,Type_II
136.jpg,Normal,128.7,139.71,159.51,0.86,Type_V
13603.jpg,Normal,202.44,147.48,143.11,62.79,Type_I
13619.jpg,Normal,147.28,140.58,155.89,15.54,Type_IV
13655.jpg,Normal,141.63,144.82,144.07,19.02,Type_IV
13705.jpg,Normal,122.42,143.41,162.95,-3.26,Type_V
1373.jpg,Normal,134.89,141.63,155.49,6.02,Type_V
13730.jpg,Normal,151.49,146.79,144.62,29.51,Type_III
1377.jpg,Normal,84.39,147.47,149.64,-38.01,Type_VI
13817.jpg,Normal,84.04,146.79,143.69,-47.37,Type_VI
13824.jpg,Normal,140.32,154.78,165.66,7.6,Type_V
13828.jpg,Normal,125.47,139.32,126.31,25.2,Type_IV
13838.jpg,Normal,126.72,137.44,149.91,-0.8,Type_V
13846.jpg,Normal,159.99,147.14,148.99,31.25,Type_III
13913.jpg,Normal,187.44,145.11,142.23,58.81,Type_I
13914.jpg,Normal,243.04,131.34,134.34,82.04,Type_I
13916.jpg,Normal,117.32,142.42,137.48,-22.84,Type_V
13924.jpg,Normal,83.03,139.57,140.9,-53.5,Type_VI
14088.jpg,Normal,101.2,143.15,145.79,-30.1,Type_VI
14092.jpg,Normal,135.13,149.12,161.59,5.09,Type_V
14142.jpg,Normal,92.63,161.66,153.67,-28.04,Type_V
14150.jpg,Normal,197.55,142.35,152.08,48.76,Type_II
14156.jpg,Normal,165.72,144.66,143.58,43.89,Type_II
14158.jpg,Normal,90.56,140.5,134.92,-64.47,Type_VI
14159.jpg,Normal,184.26,128.0,128.0,90.0,Type_I
14205.jpg,Normal,33.55,135.33,134.86,-79.45,Type_VI
14256.jpg,Normal,182.51,137.65,143.89,53.63,Type_II
1426.jpg,Normal,71.46,143.17,139.28,-62.84,Type_VI
14260.jpg,Normal,56.28,137.89,130.88,-84.11,Type_VI
14263.jpg,Normal,34.93,136.09,134.36,-80.06,Type_VI
14269.jpg,Normal,114.02,142.37,145.98,-16.39,Type_V
14270.jpg,Normal,114.92,135.79,140.87,-20.98,Type_V
14416.jpg,Normal,138.69,139.27,137.12,25.7,Type_IV
14426.jpg,Normal,101.64,146.22,151.46,-23.38,Type_V
14428.jpg,Normal,55.08,141.95,128.3,-89.4,Type_VI
14558.jpg,Normal,161.54,137.34,146.43,35.92,Type_III
1456.jpg,Normal,178.23,141.9,141.98,54.9,Type_II
14563.jpg,Normal,136.55,151.26,133.11,34.79,Type_III
14567.jpg,Normal,149.83,137.24,153.83,18.72,Type_IV
1457.jpg,Normal,145.14,135.11,130.58,69.52,Type_I
14666.jpg,Normal,117.15,132.29,140.61,-17.85,Type_V
14669.jpg,Normal,125.13,136.04,141.45,-3.95,Type_V
14813.jpg,Normal,116.2,128.0,128.0,-90.0,Type_VI
14816.jpg,Normal,8.95,131.09,130.8,-86.55,Type_VI
14818.jpg,Normal,124.1,149.08,147.96,-3.82,Type_V
14819.jpg,Normal,178.31,134.47,151.15,40.72,Type_III
1482.jpg,Normal,188.01,143.26,135.29,72.92,Type_I
14823.jpg,Normal,132.91,140.72,144.72,7.22,Type_V
14826.jpg,Normal,179.08,143.68,148.07,45.22,Type_II
14827.jpg,Normal,96.88,150.32,146.41,-33.11,Type_VI
14897.jpg,Normal,55.58,139.8,132.48,-80.97,Type_VI
14975.jpg,Normal,143.82,148.2,145.66,19.92,Type_IV
14985.jpg,Normal,237.05,127.37,146.98,66.16,Type_I
14990.jpg,Normal,123.82,148.45,153.7,-3.22,Type_V
14997.jpg,Normal,138.29,143.29,137.84,23.26,Type_IV
14998.jpg,Normal,134.58,152.76,125.53,-48.34,Type_VI
15000.jpg,Normal,131.22,147.93,152.92,3.35,Type_V
15103.jpg,Normal,62.08,149.18,149.94,-49.46,Type_VI
15109.jpg,Normal,109.16,147.7,148.07,-19.72,Type_V
15116.jpg,Normal,128.93,140.26,129.1,26.9,Type_IV
15119.jpg,Normal,146.12,149.67,142.71,26.41,Type_IV
15124.jpg,Normal,90.85,148.1,149.96,-33.21,Type_VI
15222.jpg,Normal,65.68,136.25,135.27,-73.31,Type_VI
15224.jpg,Normal,110.33,155.19,157.25,-12.96,Type_V
15233.jpg,Normal,91.59,140.05,140.89,-47.53,Type_VI
15239.jpg,Normal,119.75,152.21,150.14,-7.82,Type_V
15242.jpg,Normal,137.82,140.51,142.27,15.84,Type_IV
15338.jpg,Normal,168.56,145.62,151.63,34.27,Type_III
15409.jpg,Normal,113.45,153.8,152.34,-12.76,Type_V
15410.jpg,Normal,75.69,139.03,141.66,-56.09,Type_VI
15413.jpg,Normal,64.97,145.86,141.68,-60.85,Type_VI
15553.jpg,Normal,53.46,149.1,145.35,-59.14,Type_VI
15561.jpg,Normal,84.16,149.83,159.78,-28.14,Type_V
15572.jpg,Normal,115.37,138.98,145.53,-15.19,Type_V
15696.jpg,Normal,134.93,146.97,147.82,8.36,Type_V
15700.jpg,Normal,93.42,144.67,144.85,-38.42,Type_VI
15707.jpg,Normal,134.76,137.56,136.52,18.48,Type_IV
15885.jpg,Normal,104.81,148.42,146.94,-25.16,Type_V
15889.jpg,Normal,169.84,128.45,131.68,77.51,Type_I
15890.jpg,Normal,127.94,145.1,150.18,0.44,Type_V
15899.jpg,Normal,209.89,140.71,141.67,67.08,Type_I
15903.jpg,Normal,111.79,133.77,129.71,-74.51,Type_VI
15906.jpg,Normal,102.68,151.93,144.09,-31.17,Type_VI
16001.jpg,Normal,96.57,160.04,158.39,-21.76,Type_V
16002.jpg,Normal,99.84,141.02,146.78,-30.01,Type_VI
16013.jpg,Normal,81.78,139.39,147.21,-43.03,Type_VI
16018.jpg,Normal,74.64,142.4,142.44,-55.13,Type_VI
1602.jpg,Normal,94.18,142.73,147.65,-33.63,Type_VI
16093.jpg,Normal,171.06,147.52,146.83,42.21,Type_II
16094.jpg,Normal,128.55,155.74,162.86,0.68,Type_V
16097.jpg,Normal,73.84,141.29,145.62,-50.06,Type_VI
16103.jpg,Normal,159.74,148.86,155.71,24.52,Type_IV
16104.jpg,Normal,114.28,137.52,146.93,-15.31,Type_V
16109.jpg,Normal,159.56,139.64,133.44,66.62,Type_I
16110.jpg,Normal,61.93,148.74,147.4,-52.97,Type_VI
16119.jpg,Normal,147.63,133.98,140.11,33.11,Type_III
16121.jpg,Normal,119.26,141.17,171.19,-4.28,Type_V
16153.jpg,Normal,161.67,143.93,147.52,34.47,Type_III
16181.jpg,Normal,179.03,143.62,142.05,55.19,Type_I
16221.jpg,Normal,41.34,137.68,135.29,-77.82,Type_VI
16226.jpg,Normal,187.84,146.99,144.98,54.34,Type_II
16245.jpg,Normal,64.23,143.62,144.78,-55.92,Type_VI
16247.jpg,Normal,92.78,139.71,143.06,-42.12,Type_VI
16400.jpg,Normal,56.96,146.45,145.43,-57.79,Type_VI
16405.jpg,Normal,105.26,149.71,144.33,-28.11,Type_V
16407.jpg,Normal,121.91,128.63,132.18,-27.72,Type_V
16410.jpg,Normal,47.22,141.8,138.45,-71.63,Type_VI
16411.jpg,Normal,100.83,145.05,144.12,-32.98,Type_VI
16414.jpg,Normal,198.74,137.47,143.75,60.59,Type_I
16463.jpg,Normal,83.24,144.52,133.89,-71.25,Type_VI
16551.jpg,Normal,98.55,155.69,164.67,-17.2,Type_V
1656.jpg,Normal,112.06,146.48,140.85,-25.23,Type_V
16567.jpg,Normal,151.89,149.6,146.53,27.3,Type_IV
16570.jpg,Normal,96.07,138.01,138.7,-49.03,Type_VI
16573.jpg,Normal,158.6,138.16,142.92,39.27,Type_III
16574.jpg,Normal,126.41,149.04,155.7,-0.88,Type_V
16576.jpg,Normal,149.64,155.95,119.78,-46.57,Type_VI
16620.jpg,Normal,33.06,129.61,127.56,89.31,Type_I
16642.jpg,Normal,129.85,148.57,147.36,2.72,Type_V
16643.jpg,Normal,87.92,144.03,150.78,-34.27,Type_VI
16647.jpg,Normal,154.49,145.46,152.27,23.56,Type_IV
16648.jpg,Normal,96.4,138.07,144.23,-36.93,Type_VI
1666.jpg,Normal,140.28,140.6,145.79,15.73,Type_IV
16661.jpg,Normal,125.65,148.63,150.82,-1.82,Type_V
16748.jpg,Normal,100.16,158.92,163.95,-16.6,Type_V
16750.jpg,Normal,143.04,183.15,188.66,5.74,Type_V
16753.jpg,Normal,148.03,139.26,145.6,24.58,Type_IV
16838.jpg,Normal,91.54,128.0,128.0,-90.0,Type_VI
16844.jpg,Normal,178.41,138.68,145.7,48.44,Type_II
16845.jpg,Normal,82.04,146.42,148.32,-41.26,Type_VI
16851.jpg,Normal,131.36,150.61,163.34,2.45,Type_V
16853.jpg,Normal,133.24,148.66,152.11,5.33,Type_V
16891.jpg,Normal,70.89,142.45,140.38,-60.86,Type_VI
16910.jpg,Normal,136.1,145.68,145.26,11.06,Type_IV
16917.jpg,Normal,134.17,154.75,152.0,6.22,Type_V
16923.jpg,Normal,63.75,140.95,147.82,-51.59,Type_VI
16925.jpg,Normal,131.51,135.42,156.76,3.13,Type_V
17032.jpg,Normal,102.43,143.58,142.76,-33.68,Type_VI
17034.jpg,Normal,98.88,147.3,147.98,-29.33,Type_V
17039.jpg,Normal,137.24,149.85,158.84,7.06,Type_V
1704.jpg,Normal,146.27,138.74,137.08,39.03,Type_III
17046.jpg,Normal,188.35,145.49,137.04,69.26,Type_I
17052.jpg,Normal,102.97,152.08,150.8,-22.87,Type_V
17125.jpg,Normal,27.91,131.61,129.65,-87.58,Type_VI
17134.jpg,Normal,126.02,148.74,150.22,-1.5,Type_V
17139.jpg,Normal,126.73,128.0,128.0,-90.0,Type_VI
17148.jpg,Normal,67.63,146.08,151.43,-45.06,Type_VI
17215.jpg,Normal,99.36,138.75,141.01,-40.3,Type_VI
17319.jpg,Normal,168.77,149.02,144.62,44.24,Type_II
17324.jpg,Normal,92.28,147.2,146.3,-37.04,Type_VI
17443.jpg,Normal,84.29,137.94,136.7,-62.82,Type_VI
1745.jpg,Normal,126.15,156.7,148.43,-1.48,Type_V
17451.jpg,Normal,158.71,148.29,151.09,27.92,Type_IV
17455.jpg,Normal,134.69,141.01,141.98,11.4,Type_IV
17462.jpg,Normal,100.72,150.73,151.14,-24.41,Type_V
17591.jpg,Normal,117.2,147.78,151.85,-9.62,Type_V
17598.jpg,Normal,171.5,145.26,144.46,46.35,Type_II
17603.jpg,Normal,115.12,147.92,146.89,-14.41,Type_V
17604.jpg,Normal,173.95,131.23,138.16,60.86,Type_I
1761.jpg,Normal,161.11,144.16,143.58,40.23,Type_III
1768.jpg,Normal,74.0,135.28,140.57,-59.06,Type_VI
17688.jpg,Normal,152.96,127.48,133.08,63.02,Type_I
177.jpg,Normal,119.48,134.57,150.59,-7.92,Type_V
17708.jpg,Normal,174.75,138.34,137.23,63.52,Type_I
17745.jpg,Normal,115.82,146.97,145.99,-14.29,Type_V
17746.jpg,Normal,99.61,141.82,141.09,-39.89,Type_VI
17749.jpg,Normal,70.47,152.31,152.69,-42.17,Type_VI
17761.jpg,Normal,87.75,139.71,154.04,-30.91,Type_VI
17762.jpg,Normal,75.56,133.97,138.56,-62.6,Type_VI
1784.jpg,Normal,108.23,141.97,140.95,-30.26,Type_VI
17844.jpg,Normal,114.74,128.51,149.94,-12.85,Type_V
17857.jpg,Normal,210.42,140.75,148.11,58.26,Type_I
1786.jpg,Normal,139.1,149.12,143.57,16.29,Type_IV
17862.jpg,Normal,62.48,138.71,141.39,-62.29,Type_VI
17863.jpg,Normal,145.85,145.52,149.27,18.7,Type_IV
17900.jpg,Normal,127.33,136.57,130.3,-1.64,Type_V
17905.jpg,Normal,110.92,144.47,140.37,-27.71,Type_V
17915.jpg,Normal,198.52,141.54,137.17,71.78,Type_I
17919.jpg,Normal,92.56,142.82,135.08,-62.67,Type_VI
17922.jpg,Normal,164.58,138.71,135.34,63.21,Type_I
1803.jpg,Normal,184.3,137.35,129.81,85.35,Type_I
18031.jpg,Normal,163.4,144.09,134.06,66.72,Type_I
18032.jpg,Normal,140.29,138.55,142.75,18.78,Type_IV
18034.jpg,Normal,202.18,136.11,176.98,30.88,Type_III
18039.jpg,Normal,174.45,150.59,150.22,39.65,Type_III
18047.jpg,Normal,131.99,146.23,151.53,4.28,Type_V
18113.jpg,Normal,139.38,142.68,137.59,25.9,Type_IV
18119.jpg,Normal,68.01,142.62,141.47,-59.99,Type_VI
18129.jpg,Normal,145.33,154.89,150.47,17.29,Type_IV
18133.jpg,Normal,61.03,138.16,139.34,-66.49,Type_VI
18139.jpg,Normal,137.02,148.46,152.66,8.61,Type_V
18303.jpg,Normal,125.04,144.7,147.28,-2.87,Type_V
18307.jpg,Normal,133.89,144.57,141.75,10.32,Type_IV
18310.jpg,Normal,186.71,138.37,131.26,82.01,Type_I
18315.jpg,Normal,49.35,140.79,146.12,-59.41,Type_VI
18318.jpg,Normal,174.38,134.22,148.09,42.46,Type_II
18321.jpg,Normal,110.05,150.21,157.05,-13.26,Type_V
18326.jpg,Normal,100.23,143.52,145.81,-30.98,Type_VI
18452.jpg,Normal,171.07,151.06,150.76,36.9,Type_III
18453.jpg,Normal,212.06,139.66,138.44,72.52,Type_I
18456.jpg,Normal,61.82,133.34,139.38,-66.16,Type_VI
18466.jpg,Normal,127.88,148.75,179.93,0.16,Type_V
18469.jpg,Normal,80.79,140.55,144.66,-47.72,Type_VI
1855.jpg,Normal,125.16,128.0,128.0,-90.0,Type_VI
18550.jpg,Normal,156.19,145.64,153.34,23.94,Type_IV
18633.jpg,Normal,132.93,146.05,149.05,5.77,Type_V
18636.jpg,Normal,112.33,135.99,144.37,-19.98,Type_V
18638.jpg,Normal,30.52,140.11,135.36,-79.04,Type_VI
18721.jpg,Normal,130.55,151.73,151.0,2.97,Type_V
18886.jpg,Normal,143.8,138.04,141.57,25.21,Type_IV
18889.jpg,Normal,81.56,140.74,138.14,-60.62,Type_VI
18984.jpg,Normal,125.96,138.42,152.33,-1.42,Type_V
18985.jpg,Normal,81.38,148.22,152.23,-36.74,Type_VI
18986.jpg,Normal,118.21,146.79,153.58,-8.11,Type_V
18988.jpg,Normal,136.17,139.29,160.02,6.06,Type_V
1899.jpg,Normal,65.31,135.0,134.26,-75.61,Type_VI
18991.jpg,Normal,125.36,147.43,148.03,-2.39,Type_V
18994.jpg,Normal,68.47,141.47,146.4,-51.52,Type_VI
18997.jpg,Normal,148.05,145.58,127.32,-85.16,Type_VI
18999.jpg,Normal,112.23,139.66,143.42,-21.22,Type_V
190.jpg,Normal,96.76,142.55,135.5,-58.11,Type_VI
19007.jpg,Normal,113.45,147.06,146.8,-16.34,Type_V
19102.jpg,Normal,123.57,144.47,138.81,-8.11,Type_V
19104.jpg,Normal,106.02,128.91,128.82,-84.46,Type_VI
19111.jpg,Normal,114.84,128.0,128.0,-90.0,Type_VI
19117.jpg,Normal,48.37,151.66,124.58,83.72,Type_I
19120.jpg,Normal,162.78,148.66,153.38,28.6,Type_III
19125.jpg,Normal,168.61,143.81,150.12,36.09,Type_III
19203.jpg,Normal,76.19,134.79,136.16,-67.94,Type_VI
19217.jpg,Normal,204.16,142.75,149.48,54.45,Type_II
19219.jpg,Normal,126.8,156.62,161.33,-0.47,Type_V
19225.jpg,Normal,125.37,144.98,145.12,-2.8,Type_V
19227.jpg,Normal,104.88,133.65,136.9,-44.89,Type_VI
19232.jpg,Normal,118.54,141.14,150.32,-8.95,Type_V
1926.jpg,Normal,88.13,142.88,139.35,-53.67,Type_VI
19291.jpg,Normal,73.06,122.93,147.83,-47.11,Type_VI
19298.jpg,Normal,90.47,151.82,149.69,-33.8,Type_VI
193.jpg,Normal,161.2,152.56,160.16,22.34,Type_IV
19418.jpg,Normal,119.94,148.19,138.97,-15.12,Type_V
19419.jpg,Normal,84.96,170.62,165.68,-23.88,Type_V
19469.jpg,Normal,168.41,147.64,153.43,32.25,Type_III
